M,N,K,q_dtype_w
32,2112,7168,torch.float8_e4m3fn
32,3072,1536,torch.float8_e4m3fn
32,7168,256,torch.float8_e4m3fn
32,7168,2048,torch.float8_e4m3fn
64,2112,7168,torch.float8_e4m3fn
64,3072,1536,torch.float8_e4m3fn
64,7168,256,torch.float8_e4m3fn
64,7168,2048,torch.float8_e4m3fn
96,2112,7168,torch.float8_e4m3fn
96,3072,1536,torch.float8_e4m3fn
96,7168,256,torch.float8_e4m3fn
96,7168,2048,torch.float8_e4m3fn
128,2112,7168,torch.float8_e4m3fn
128,3072,1536,torch.float8_e4m3fn
128,7168,256,torch.float8_e4m3fn
128,7168,2048,torch.float8_e4m3fn
256,2112,7168,torch.float8_e4m3fn
256,3072,1536,torch.float8_e4m3fn
256,7168,256,torch.float8_e4m3fn
256,7168,2048,torch.float8_e4m3fn
512,2112,7168,torch.float8_e4m3fn
512,3072,1536,torch.float8_e4m3fn
512,7168,256,torch.float8_e4m3fn
512,7168,2048,torch.float8_e4m3fn
1024,2112,7168,torch.float8_e4m3fn
1024,3072,1536,torch.float8_e4m3fn
1024,7168,256,torch.float8_e4m3fn
1024,7168,2048,torch.float8_e4m3fn
2048,2112,7168,torch.float8_e4m3fn
2048,3072,1536,torch.float8_e4m3fn
2048,7168,256,torch.float8_e4m3fn
2048,7168,2048,torch.float8_e4m3fn
4096,2112,7168,torch.float8_e4m3fn
4096,3072,1536,torch.float8_e4m3fn
4096,7168,256,torch.float8_e4m3fn
4096,7168,2048,torch.float8_e4m3fn
8192,2112,7168,torch.float8_e4m3fn
8192,3072,1536,torch.float8_e4m3fn
8192,7168,256,torch.float8_e4m3fn
8192,7168,2048,torch.float8_e4m3fn
16384,2112,7168,torch.float8_e4m3fn
16384,3072,1536,torch.float8_e4m3fn
16384,7168,256,torch.float8_e4m3fn
16384,7168,2048,torch.float8_e4m3fn
