M,N,K
32,2112,7168
32,3072,1536
32,7168,256
32,7168,2048
64,2112,7168
64,3072,1536
64,7168,256
64,7168,2048
96,2112,7168
96,3072,1536
96,7168,256
96,7168,2048
128,2112,7168
128,3072,1536
128,7168,256
128,7168,2048
256,2112,7168
256,3072,1536
256,7168,256
256,7168,2048
512,2112,7168
512,3072,1536
512,7168,256
512,7168,2048
1024,2112,7168
1024,3072,1536
1024,7168,256
1024,7168,2048
2048,2112,7168
2048,3072,1536
2048,7168,256
2048,7168,2048
4096,2112,7168
4096,3072,1536
4096,7168,256
4096,7168,2048
8192,2112,7168
8192,3072,1536
8192,7168,256
8192,7168,2048
16384,2112,7168
16384,3072,1536
16384,7168,256
16384,7168,2048
