M,N,K,q_dtype_w
1,2112,7168,torch.float8_e4m3fn
2,2112,7168,torch.float8_e4m3fn
4,2112,7168,torch.float8_e4m3fn
8,2112,7168,torch.float8_e4m3fn
16,2112,7168,torch.float8_e4m3fn
32,2112,7168,torch.float8_e4m3fn
64,2112,7168,torch.float8_e4m3fn
128,2112,7168,torch.float8_e4m3fn
256,2112,7168,torch.float8_e4m3fn
512,2112,7168,torch.float8_e4m3fn
1024,2112,7168,torch.float8_e4m3fn
2048,2112,7168,torch.float8_e4m3fn
4096,2112,7168,torch.float8_e4m3fn
8192,2112,7168,torch.float8_e4m3fn
16384,2112,7168,torch.float8_e4m3fn
32768,2112,7168,torch.float8_e4m3fn
1,3072,1536,torch.float8_e4m3fn
2,3072,1536,torch.float8_e4m3fn
4,3072,1536,torch.float8_e4m3fn
8,3072,1536,torch.float8_e4m3fn
16,3072,1536,torch.float8_e4m3fn
32,3072,1536,torch.float8_e4m3fn
64,3072,1536,torch.float8_e4m3fn
128,3072,1536,torch.float8_e4m3fn
256,3072,1536,torch.float8_e4m3fn
512,3072,1536,torch.float8_e4m3fn
1024,3072,1536,torch.float8_e4m3fn
2048,3072,1536,torch.float8_e4m3fn
4096,3072,1536,torch.float8_e4m3fn
8192,3072,1536,torch.float8_e4m3fn
16384,3072,1536,torch.float8_e4m3fn
32768,3072,1536,torch.float8_e4m3fn
1,4096,512,torch.float8_e4m3fn
2,4096,512,torch.float8_e4m3fn
4,4096,512,torch.float8_e4m3fn
8,4096,512,torch.float8_e4m3fn
16,4096,512,torch.float8_e4m3fn
32,4096,512,torch.float8_e4m3fn
64,4096,512,torch.float8_e4m3fn
128,4096,512,torch.float8_e4m3fn
256,4096,512,torch.float8_e4m3fn
512,4096,512,torch.float8_e4m3fn
1024,4096,512,torch.float8_e4m3fn
2048,4096,512,torch.float8_e4m3fn
4096,4096,512,torch.float8_e4m3fn
8192,4096,512,torch.float8_e4m3fn
16384,4096,512,torch.float8_e4m3fn
32768,4096,512,torch.float8_e4m3fn
1,7168,2048,torch.float8_e4m3fn
2,7168,2048,torch.float8_e4m3fn
4,7168,2048,torch.float8_e4m3fn
8,7168,2048,torch.float8_e4m3fn
16,7168,2048,torch.float8_e4m3fn
32,7168,2048,torch.float8_e4m3fn
64,7168,2048,torch.float8_e4m3fn
128,7168,2048,torch.float8_e4m3fn
256,7168,2048,torch.float8_e4m3fn
512,7168,2048,torch.float8_e4m3fn
1024,7168,2048,torch.float8_e4m3fn
2048,7168,2048,torch.float8_e4m3fn
4096,7168,2048,torch.float8_e4m3fn
8192,7168,2048,torch.float8_e4m3fn
16384,7168,2048,torch.float8_e4m3fn
32768,7168,2048,torch.float8_e4m3fn
